,,,seed,seed,n_eff,n_eff,r_PhI,r_PhI,r_PhIIa,r_PhIIa,r_PhIIb,r_PhIIb,r_Rg,r_Rg,r_NND,r_NND,r_Var,r_Var
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
ensemble,Î”x,compressor,,,,,,,,,,,,,,,,
blobs40,0.001,bz2,24.5,14.577,21.0,0.0,0.296,0.223,-0.987,0.004,-0.986,0.005,0.983,0.006,0.968,0.015,0.968,0.016
blobs40,0.001,gzip,24.5,14.577,21.0,0.0,0.408,0.282,-0.993,0.003,-0.992,0.005,0.987,0.006,0.968,0.016,0.969,0.017
blobs40,0.001,lzma,24.5,14.577,21.0,0.0,0.22,0.295,-0.985,0.011,-0.967,0.017,0.979,0.011,0.961,0.017,0.961,0.019
blobs40,0.001,none,24.5,14.577,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blobs40,0.001,zstd,24.5,14.577,21.0,0.0,0.19,0.308,-0.994,0.002,-0.994,0.002,0.988,0.005,0.969,0.015,0.97,0.015
blobs40,0.01,bz2,24.5,14.577,21.0,0.0,0.296,0.223,-0.975,0.008,-0.975,0.008,0.97,0.011,0.953,0.018,0.954,0.019
blobs40,0.01,gzip,24.5,14.577,21.0,0.0,0.408,0.282,-0.992,0.007,-0.991,0.007,0.989,0.007,0.974,0.015,0.975,0.015
blobs40,0.01,lzma,24.5,14.577,21.0,0.0,0.22,0.295,-0.99,0.005,-0.984,0.006,0.987,0.007,0.972,0.016,0.972,0.016
blobs40,0.01,none,24.5,14.577,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blobs40,0.01,zstd,24.5,14.577,21.0,0.0,0.19,0.308,-0.996,0.002,-0.996,0.002,0.992,0.005,0.975,0.013,0.976,0.014
blobs40,0.1,bz2,24.5,14.577,21.0,0.0,0.296,0.223,-0.993,0.002,-0.993,0.003,0.988,0.007,0.971,0.016,0.971,0.018
blobs40,0.1,gzip,24.5,14.577,21.0,0.0,0.408,0.282,-0.997,0.001,-0.997,0.001,0.991,0.005,0.973,0.014,0.973,0.016
blobs40,0.1,lzma,24.5,14.577,21.0,0.0,0.22,0.295,-0.985,0.007,-0.981,0.006,0.979,0.011,0.96,0.021,0.961,0.022
blobs40,0.1,none,24.5,14.577,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blobs40,0.1,zstd,24.5,14.577,21.0,0.0,0.19,0.308,-0.998,0.001,-0.998,0.001,0.991,0.005,0.972,0.016,0.972,0.017
lattice40,0.001,bz2,24.5,14.577,21.0,0.0,0.729,0.101,-0.909,0.024,-0.904,0.026,0.903,0.023,0.897,0.023,0.786,0.031
lattice40,0.001,gzip,24.5,14.577,21.0,0.0,0.556,0.141,-0.832,0.03,-0.842,0.032,0.92,0.025,0.916,0.026,0.841,0.037
lattice40,0.001,lzma,24.5,14.577,21.0,0.0,0.533,0.187,-0.969,0.017,-0.952,0.016,0.752,0.042,0.741,0.043,0.575,0.053
lattice40,0.001,none,24.5,14.577,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lattice40,0.001,zstd,24.5,14.577,21.0,0.0,0.133,0.334,-0.972,0.009,-0.972,0.009,0.849,0.023,0.84,0.023,0.691,0.031
lattice40,0.01,bz2,24.5,14.577,21.0,0.0,0.729,0.101,-0.949,0.013,-0.951,0.012,0.879,0.018,0.871,0.018,0.738,0.027
lattice40,0.01,gzip,24.5,14.577,21.0,0.0,0.556,0.141,-0.99,0.004,-0.988,0.004,0.808,0.016,0.798,0.016,0.636,0.021
lattice40,0.01,lzma,24.5,14.577,21.0,0.0,0.533,0.187,-0.854,0.026,-0.936,0.016,0.94,0.02,0.936,0.02,0.849,0.032
lattice40,0.01,none,24.5,14.577,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lattice40,0.01,zstd,24.5,14.577,21.0,0.0,0.133,0.334,-0.987,0.005,-0.988,0.004,0.813,0.017,0.803,0.018,0.64,0.022
lattice40,0.1,bz2,24.5,14.577,21.0,0.0,0.729,0.101,-0.955,0.012,-0.956,0.013,0.899,0.018,0.892,0.02,0.76,0.028
lattice40,0.1,gzip,24.5,14.577,21.0,0.0,0.556,0.141,-0.957,0.011,-0.959,0.01,0.902,0.017,0.895,0.018,0.763,0.025
lattice40,0.1,lzma,24.5,14.577,21.0,0.0,0.533,0.187,-0.985,0.006,-0.988,0.004,0.731,0.036,0.719,0.037,0.543,0.044
lattice40,0.1,none,24.5,14.577,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lattice40,0.1,zstd,24.5,14.577,21.0,0.0,0.133,0.334,-0.957,0.012,-0.947,0.016,0.891,0.02,0.883,0.021,0.748,0.03
uniform40,0.001,bz2,24.5,14.577,21.0,0.0,0.324,0.217,-0.958,0.013,-0.957,0.014,0.899,0.024,0.869,0.028,0.751,0.036
uniform40,0.001,gzip,24.5,14.577,21.0,0.0,0.428,0.221,-0.946,0.019,-0.948,0.017,0.834,0.043,0.801,0.046,0.668,0.062
uniform40,0.001,lzma,24.5,14.577,21.0,0.0,0.429,0.228,-0.971,0.017,-0.962,0.015,0.774,0.052,0.73,0.056,0.578,0.068
uniform40,0.001,none,24.5,14.577,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform40,0.001,zstd,24.5,14.577,21.0,0.0,0.204,0.289,-0.988,0.005,-0.989,0.004,0.849,0.025,0.811,0.024,0.67,0.034
uniform40,0.01,bz2,24.5,14.577,21.0,0.0,0.324,0.217,-0.953,0.013,-0.953,0.011,0.906,0.021,0.878,0.027,0.763,0.033
uniform40,0.01,gzip,24.5,14.577,21.0,0.0,0.428,0.221,-0.981,0.006,-0.979,0.009,0.885,0.019,0.851,0.019,0.724,0.027
uniform40,0.01,lzma,24.5,14.577,21.0,0.0,0.429,0.228,-0.955,0.013,-0.95,0.012,0.929,0.018,0.903,0.02,0.793,0.029
uniform40,0.01,none,24.5,14.577,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform40,0.01,zstd,24.5,14.577,21.0,0.0,0.204,0.289,-0.991,0.003,-0.991,0.004,0.85,0.021,0.812,0.021,0.673,0.028
uniform40,0.1,bz2,24.5,14.577,21.0,0.0,0.324,0.217,-0.99,0.004,-0.989,0.004,0.854,0.024,0.816,0.025,0.675,0.032
uniform40,0.1,gzip,24.5,14.577,21.0,0.0,0.428,0.221,-0.989,0.004,-0.988,0.003,0.872,0.02,0.836,0.021,0.701,0.028
uniform40,0.1,lzma,24.5,14.577,21.0,0.0,0.429,0.228,-0.978,0.008,-0.973,0.01,0.793,0.041,0.751,0.042,0.6,0.053
uniform40,0.1,none,24.5,14.577,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform40,0.1,zstd,24.5,14.577,21.0,0.0,0.204,0.289,-0.995,0.004,-0.994,0.004,0.832,0.024,0.792,0.024,0.644,0.031
uniform400,0.001,bz2,24.5,14.577,21.0,0.0,0.139,0.269,-0.999,0.0,-0.999,0.0,0.996,0.001,0.98,0.003,0.988,0.002
uniform400,0.001,gzip,24.5,14.577,21.0,0.0,0.164,0.249,-1.0,0.0,-1.0,0.0,0.998,0.001,0.981,0.003,0.99,0.002
uniform400,0.001,lzma,24.5,14.577,21.0,0.0,0.436,0.288,-0.998,0.005,-0.999,0.002,0.995,0.006,0.978,0.008,0.986,0.007
uniform400,0.001,none,24.5,14.577,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform400,0.001,zstd,24.5,14.577,21.0,0.0,0.128,0.409,-1.0,0.0,-1.0,0.0,0.997,0.001,0.979,0.003,0.988,0.002
uniform400,0.01,bz2,24.5,14.577,21.0,0.0,0.139,0.269,-0.998,0.001,-0.998,0.001,0.996,0.001,0.981,0.003,0.989,0.002
uniform400,0.01,gzip,24.5,14.577,21.0,0.0,0.164,0.249,-1.0,0.0,-1.0,0.0,0.998,0.0,0.982,0.003,0.99,0.002
uniform400,0.01,lzma,24.5,14.577,21.0,0.0,0.436,0.288,-1.0,0.0,-1.0,0.0,0.997,0.001,0.981,0.003,0.989,0.002
uniform400,0.01,none,24.5,14.577,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform400,0.01,zstd,24.5,14.577,21.0,0.0,0.128,0.409,-1.0,0.0,-1.0,0.0,0.998,0.001,0.982,0.003,0.99,0.002
uniform400,0.1,bz2,24.5,14.577,21.0,0.0,0.139,0.269,-0.998,0.001,-0.998,0.001,0.996,0.002,0.981,0.005,0.989,0.004
uniform400,0.1,gzip,24.5,14.577,21.0,0.0,0.164,0.249,-1.0,0.0,-1.0,0.0,0.998,0.001,0.982,0.003,0.99,0.002
uniform400,0.1,lzma,24.5,14.577,21.0,0.0,0.436,0.288,-0.999,0.0,-0.999,0.0,0.998,0.001,0.983,0.003,0.991,0.002
uniform400,0.1,none,24.5,14.577,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform400,0.1,zstd,24.5,14.577,21.0,0.0,0.128,0.409,-0.999,0.0,-0.999,0.0,0.998,0.001,0.983,0.003,0.991,0.002
